Date,Open,High,Low,Close,Adj Close,Volume,Suggestion
17/07/2018,138.179993,139.910004,137.419998,139.639999,136.126099,5412600,Sell
18/07/2018,139.910004,141.169998,139.369995,140.899994,137.35437,7008600,Sell
19/07/2018,140.949997,140.990005,139.929993,140.130005,136.603775,7937000,Buy
20/07/2018,140,141.470001,139.919998,140.990005,137.442093,7153600,Sell
23/07/2018,140.660004,140.970001,139.639999,140.029999,136.506287,7723600,Buy
24/07/2018,140.990005,141.470001,139.509995,140.029999,136.506287,8336700,Buy
25/07/2018,140.339996,142.770004,139.899994,142.639999,139.050613,8376000,Sell
26/07/2018,141.610001,142.789993,139.529999,142.5,138.914124,10520800,Sell
27/07/2018,143.080002,143.139999,139.210007,140.710007,137.169174,7014900,Buy
30/07/2018,140.130005,140.419998,135.309998,136.479996,133.045593,12812400,Buy
31/07/2018,137.130005,138.020004,135.630005,136.740005,133.299072,7683300,Buy
01/08/2018,137.740005,138.740005,137.410004,138.25,134.771103,7087700,Sell
02/08/2018,137.449997,139.190002,137,138.919998,135.424225,12300000,Sell
03/08/2018,139.289993,139.860001,137.940002,139.820007,136.30159,4617500,Sell
06/08/2018,139.649994,140.259995,139.050003,139.710007,136.194336,5143000,Sell
07/08/2018,139.979996,140.690002,139.869995,140.279999,136.749954,10034500,Sell
08/08/2018,139.979996,140.990005,139.830002,140.679993,137.139938,5389500,Sell
09/08/2018,140.729996,141.240005,139.899994,140.009995,136.486755,5679300,Buy
10/08/2018,139.880005,140.740005,139.25,139.729996,136.213852,6523500,Buy
13/08/2018,140.529999,141.240005,139.830002,140.210007,136.681732,4817500,Buy
14/08/2018,140.300003,140.990005,139.880005,140.759995,137.217896,5888700,Sell
15/08/2018,140.350006,140.690002,138.839996,139.919998,136.399017,5288400,Buy
16/08/2018,141.070007,141.490005,140.419998,140.649994,137.316757,5931700,Buy
17/08/2018,140.779999,141.710007,140.570007,141.330002,137.980621,7699600,Sell
20/08/2018,141.539993,141.600006,140.699997,140.940002,137.599899,4662200,Buy
21/08/2018,141,141.460007,139.800003,140.039993,136.721191,6854300,Buy
22/08/2018,139.850006,141.529999,139.850006,141.139999,137.795151,4191700,Sell
23/08/2018,141.009995,142.449997,140.770004,142.100006,138.732422,4426800,Sell
24/08/2018,142.320007,144.380005,142.320007,144.199997,140.782639,5714000,Sell
27/08/2018,144.990005,145.600006,144.710007,145.399994,141.954193,7194900,Sell
28/08/2018,145.630005,146.169998,144.869995,145.199997,141.758926,4925700,Buy
29/08/2018,145.460007,147.300003,145.419998,147.029999,143.545563,5192900,Sell
30/08/2018,146.820007,147.710007,146.360001,146.740005,143.262466,7804600,Buy
31/08/2018,146.740005,147.639999,146.5,146.889999,143.40892,5786600,Sell
04/09/2018,146.929993,147.860001,146.669998,147.800003,144.297302,7638100,Sell
05/09/2018,147,147.820007,142.550003,142.669998,139.28891,11363400,Buy
06/09/2018,143.289993,144.699997,142.539993,144.5,141.0755,9589200,Sell
07/09/2018,143.990005,144.440002,142.75,143.199997,139.806305,13626200,Buy
10/09/2018,144.130005,144.440002,143.210007,144.080002,140.665497,5362700,Buy
11/09/2018,143.460007,145.520004,143.25,145.490005,142.042053,9895900,Sell
12/09/2018,145.850006,146.800003,145.070007,146.570007,143.096497,6964100,Sell
13/09/2018,147.149994,148.070007,147.089996,147.630005,144.131363,5803400,Sell
14/09/2018,147.910004,148.369995,147.350006,147.839996,144.336365,4928300,Buy
17/09/2018,147.830002,147.899994,145.830002,146.179993,142.715729,7708600,Buy
18/09/2018,146.199997,148.089996,145.949997,147.630005,144.131363,5692100,Sell
19/09/2018,148.279999,148.820007,147.25,147.419998,143.926315,7432300,Buy
20/09/2018,147.990005,149.490005,147.199997,149.240005,145.703186,7172700,Sell
21/09/2018,149.949997,150.259995,149.350006,150.050003,146.493988,15628100,Sell
24/09/2018,149.160004,149.649994,147.270004,149.110001,145.576294,6706700,Buy
25/09/2018,149.710007,149.960007,149.100006,149.580002,146.035126,4230700,Buy
26/09/2018,150,150.419998,149.039993,149.270004,145.732498,5852400,Buy
27/09/2018,149.899994,150.639999,149.559998,150.020004,146.464722,5868500,Sell
28/09/2018,149.809998,150.369995,149.550003,150.089996,146.533035,6035900,Sell
01/10/2018,150.889999,151.559998,150.610001,150.789993,147.216461,9802100,Buy
02/10/2018,150.839996,150.839996,149.169998,149.669998,146.123001,8047500,Buy
03/10/2018,150.710007,150.710007,149.190002,149.369995,145.830109,7521100,Buy
04/10/2018,149.179993,149.279999,146.100006,146.759995,143.281967,9208900,Buy
05/10/2018,146.639999,147.410004,144.399994,145.360001,141.915161,7085700,Buy
08/10/2018,145.009995,145.009995,140.179993,141.889999,138.52742,11637300,Buy
09/10/2018,141.460007,143.289993,141.119995,142.309998,138.937408,10798000,Sell
10/10/2018,142.570007,142.690002,135.210007,135.520004,132.308319,15450100,Buy
11/10/2018,134.089996,137.240005,132.259995,133.729996,130.560776,15657200,Buy
12/10/2018,138.479996,140.979996,137.429993,140.059998,136.740738,12993300,Sell
15/10/2018,139.899994,140.059998,137.220001,137.229996,133.977829,7953000,Buy
16/10/2018,138.710007,142.139999,138.679993,141.740005,138.380951,11059500,Sell
17/10/2018,142.339996,142.860001,140.729996,142.449997,139.074081,9170600,Sell
18/10/2018,142.460007,142.460007,137.949997,139.289993,135.988998,10222600,Buy
19/10/2018,139.899994,142.190002,139.380005,140.080002,136.760254,8696900,Sell
22/10/2018,140.970001,141.539993,139.509995,140.639999,137.307007,6099500,Buy
23/10/2018,136.889999,140.039993,135.589996,139.119995,135.822998,10736100,Sell
24/10/2018,139.699997,140.179993,134,134.259995,131.078186,13849600,Buy
25/10/2018,135.449997,140.899994,132.5,140.520004,137.18985,14985900,Sell
26/10/2018,137.979996,139.869995,136.059998,137.740005,134.475754,12034900,Buy
29/10/2018,139.610001,141.509995,132.270004,134.330002,131.146515,12768200,Buy
30/10/2018,133.080002,134.860001,129.789993,132.759995,129.613708,15107600,Buy
31/10/2018,134.990005,139.119995,134.990005,137.850006,134.58313,13205300,Sell
01/11/2018,139,140.869995,137.490005,140.830002,137.492477,16024000,Sell
02/11/2018,141.110001,141.449997,137.850006,139.779999,136.467377,17063100,Buy
05/11/2018,139.800003,140.210007,138.070007,139.800003,136.486908,6280000,Sell
06/11/2018,139.800003,140.910004,139.720001,140.789993,137.453445,4732700,Sell
07/11/2018,142.339996,144.899994,142.320007,144.779999,141.348892,20502100,Sell
08/11/2018,144.600006,145.460007,143.649994,145.229996,141.788223,5927400,Sell
09/11/2018,144.199997,144.570007,142.360001,143.929993,140.519028,8339800,Buy
12/11/2018,143.419998,143.639999,139.169998,139.720001,136.408813,11335100,Buy
13/11/2018,140.350006,141.899994,139.009995,139.720001,136.408813,6287000,Buy
14/11/2018,142.020004,142.600006,138.410004,139.490005,136.184235,6613900,Buy
15/11/2018,138.850006,141.910004,137.929993,141.839996,138.727188,8565000,Sell
16/11/2018,140.419998,141.839996,139.919998,140.179993,137.103622,8628000,Buy
19/11/2018,140.470001,140.570007,134.25,134.759995,131.802582,16253000,Buy
20/11/2018,130.309998,134.529999,129.539993,133.369995,130.443054,12720200,Sell
21/11/2018,134.360001,135.779999,133.630005,134.419998,131.470032,7416300,Sell
23/11/2018,132.589996,134.25,132.490005,132.869995,129.954041,3676000,Sell
26/11/2018,134.600006,136.520004,134.25,135.940002,132.95668,9144600,Sell
27/11/2018,135.279999,136.309998,134.119995,135.910004,132.927353,7877900,Sell
28/11/2018,137.070007,141.539993,136.869995,141.380005,138.277328,11265100,Sell
29/11/2018,140.690002,140.699997,138.710007,139.100006,136.047348,8751500,Buy
30/11/2018,139.009995,142.259995,138.630005,141.710007,138.600067,11362800,Sell
03/12/2018,145,145.720001,143.850006,145,141.817856,11285600,Sell
04/12/2018,143.130005,144.350006,138.5,138.639999,135.597412,13988900,Buy
06/12/2018,135.039993,141.110001,133.479996,141.050003,137.954544,16391900,Sell
07/12/2018,140.820007,142.130005,135.990005,137.110001,134.100983,14007700,Buy
10/12/2018,136.25,138.270004,134.860001,137.880005,134.854111,15744300,Sell
11/12/2018,139.940002,140.050003,135.919998,136.809998,133.807587,12466300,Buy
12/12/2018,139.300003,140.880005,137.75,137.800003,134.775848,10387200,Buy
13/12/2018,138.300003,139.130005,136.149994,137.539993,134.521591,8780900,Buy
14/12/2018,135.690002,136.720001,134.550003,135.089996,132.125351,9351200,Buy
17/12/2018,134.210007,134.429993,130.690002,131.399994,128.516312,11796200,Buy
18/12/2018,132.289993,134.169998,131.800003,132.660004,129.748657,12761900,Sell
19/12/2018,132.929993,135.869995,129.520004,131.259995,128.379379,13819000,Buy
20/12/2018,130.160004,132.009995,127.150002,128.759995,125.934242,18091700,Buy
21/12/2018,127.18,130.330002,122.949997,124.260002,121.533012,25448600,Buy
24/12/2018,122.080002,125.209999,121.599998,121.730003,119.05854,8617700,Buy
26/12/2018,123.019997,130.240005,123,130.229996,127.372002,13499500,Sell
27/12/2018,127.989998,132.009995,126.519997,132.009995,129.11293,10883000,Sell
28/12/2018,133.080002,133.619995,129.660004,130.940002,128.066437,7381300,Buy
31/12/2018,131.679993,132.440002,130.229996,131.940002,129.044464,7976000,Sell
02/01/2019,130,133.740005,129.600006,132.919998,130.002975,8788000,Sell
03/01/2019,131.210007,131.279999,127.879997,128.130005,125.3181,9428300,Buy
04/01/2019,130.440002,134.589996,130.130005,133.649994,130.716934,11065800,Sell
07/01/2019,134.449997,137.169998,134.039993,136.059998,133.074036,12928000,Sell
08/01/2019,137.970001,138.190002,135.960007,136.800003,133.797806,9243000,Buy
09/01/2019,138.300003,139.479996,137.619995,138.410004,135.372482,9987600,Sell
10/01/2019,136.809998,138.820007,136.360001,138.669998,135.62674,12514900,Sell
11/01/2019,137.75,138.600006,137.410004,138.059998,135.030151,5860100,Sell
14/01/2019,136.990005,138.130005,136.649994,137.100006,134.091232,8666700,Sell
15/01/2019,136.960007,137.720001,135.25,137.339996,134.325943,7594900,Sell
16/01/2019,138.399994,138.869995,137.070007,137.339996,134.325943,7258000,Buy
17/01/2019,136.970001,137.910004,136.589996,137.279999,134.267258,5864900,Sell
18/01/2019,138.309998,138.600006,136.639999,138.5,135.460464,10263500,Sell
22/01/2019,137.899994,139.520004,136.979996,138.050003,135.02037,8102300,Sell
23/01/2019,138.770004,138.979996,136.149994,137.009995,134.003204,5465800,Buy
24/01/2019,137.110001,138.320007,136.520004,137.699997,134.67804,4924800,Sell
25/01/2019,139,139.899994,137.699997,138.669998,135.62674,9756300,Buy
28/01/2019,137.509995,137.509995,134.809998,135.990005,133.005585,9857200,Buy
29/01/2019,136.589996,136.690002,134.110001,135,132.037277,7457700,Buy
30/01/2019,136.100006,137.899994,135.509995,137.600006,134.580231,8078100,Sell
31/01/2019,134.389999,135.729996,133.300003,135.009995,132.047058,20095700,Sell
01/02/2019,135.389999,140.350006,135.259995,140.149994,137.074295,13248300,Sell
04/02/2019,139.789993,141.520004,139.179993,141.5,138.394653,11882700,Sell
05/02/2019,142,142.949997,141.830002,142.529999,139.402069,8455700,Sell
06/02/2019,141.960007,142.419998,141.050003,141.490005,138.384857,6146900,Buy
07/02/2019,139.919998,141.059998,139.210007,140.169998,137.093842,10675300,Sell
08/02/2019,138.690002,140.399994,138.520004,140.380005,137.29924,5950700,Sell
11/02/2019,141.259995,142.289993,140.449997,140.800003,137.710022,7600100,Buy
12/02/2019,141.789993,142.800003,141.25,141.990005,138.873901,6090000,Sell
13/02/2019,142.889999,144.699997,142.869995,143.490005,140.340988,6885600,Sell
14/02/2019,142.979996,143.479996,142.399994,143.160004,140.262634,6314000,Sell
15/02/2019,144.550003,144.910004,143.820007,144.910004,141.977188,6536000,Sell
19/02/2019,144.419998,144.880005,144.020004,144.440002,141.516693,8406700,Sell
